Я0091    ;Бухгалтер (по учету реализованной готовой продукции);Отдел бухгалтерской и налоговой отчетности;1;;;;1;;1;;;;;;1;;;1
Я0388    ;Ведущий бухгалтер (по дебиторской задолженности);Отдел бухгалтерской и налоговой отчетности;1;;;;1;;1;;;;;;1;;;1
Я0078    ;Ведущий бухгалтер (по налоговому учету);Отдел бухгалтерской и налоговой отчетности;1;;;;1;;1;;;;;;1;;;1
Я0081    ;Ведущий бухгалтер (по расчету з/п и отчислений в страховые фонды);Отдел бухгалтерской и налоговой отчетности;1;;;;1;;1;;;;;;1;;;1
Я0077    ;Ведущий бухгалтер (по учету капитальных затрат и основных фондов);Отдел бухгалтерской и налоговой отчетности;1;;;;1;;1;;;;;;1;;;1
Я0195    ;Ведущий бухгалтер (по учету реализованной готовой продукции);Отдел бухгалтерской и налоговой отчетности;1;;;;1;;1;;;;;;1;;;1
Я0073    ;Заместитель главного бухгалтера;Отдел бухгалтерской и налоговой отчетности;1;;;;1;;1;;;;;;1;;;1
Я0384    ;Заместитель главного бухгалтера;Отдел бухгалтерской и налоговой отчетности;1;;;;1;;1;;;;;;1;;;1
1048     ;Кассир;Отдел бухгалтерской и налоговой отчетности;1;;;;1;;1;;;;;;1;;;1
Я0385    ;Специалист (по кредитному контролю и расчетам с дебиторами);Отдел бухгалтерской и налоговой отчетности;1;;;;1;;1;;;;;;1;;;1
Я0386    ;Специалист (по расчетам с дебиторами);Отдел бухгалтерской и налоговой отчетности;1;;;;1;;1;;;;;;1;;;1
Я0222    ;Внутренний аудитор;Отдел внутреннего аудита;1;;;;1;;1;;;;;;1;;;1
Я0293    ;Руководитель отдела (внутреннего аудита);Отдел внутреннего аудита;1;;;;1;;1;;;;;;1;;;1
103      ;Главный  механик;Отдел главного механика;1;;1;1;1;1;1;;;1;1;1;1;1;1;1
Я0407    ;Заместитель главного механика;Отдел главного механика;1;;1;1;1;1;1;;;1;1;1;1;1;1;1
158      ;Заточник;Отдел главного механика;;;;;;;1;;;;;1;1;;;1
Я0353    ;Инженер- механик;Отдел главного механика;;;;;1;;1;;;1;1;1;1;;;1
67       ;Механик ;Отдел главного механика;;;1;1;1;1;1;;;1;1;1;1;1;1;1
241      ;Слесарь по ремонту технологических установок;Отдел главного механика;;;;;;;1;;;1;1;1;1;;;1
235      ;Слесарь- ремонтник;Отдел главного механика;;;;;;;1;;;1;1;1;1;;;1
Я0279    ;Слесарь-ремонтник (сменный);Отдел главного механика;;;;;;;1;;;1;1;1;1;;;1
Я0257    ;Электрогазосварщик;Отдел главного механика;;;;;;;1;;;1;1;1;1;;;1
120.     ;Ведущий технолог;Отдел главного технолога;1;1;1;;1;1;1;;;;;1;1;1;;1
56       ;Главный технолог;Отдел главного технолога;1;1;1;;1;1;1;;;;;1;1;1;;1
Я0203    ;Технолог (отд.гл.тех.);Отдел главного технолога;1;1;1;;1;1;1;;;;;1;1;1;;1
1112     ;Главный энергетик;Отдел главного энергетика;1;;;;1;;1;;;;;;1;;;1
99РС4    ;Делопроизводитель;Отдел документационного обеспечения;1;;;;1;;1;;;;;;1;;;1
99РС2    ;Помощник генерального директора;Отдел документационного обеспечения;1;;;;1;;1;;;;;;1;;;1
Я0411    ;Руководитель отдела (документационного обеспечения);Отдел документационного обеспечения;1;;;;1;;1;;;;;;1;;;1
1049     ;Администратор (системный);Отдел информационных технологий;1;;1;1;1;1;1;;;;1;1;1;1;1;1
155      ;Инженер-программист;Отдел информационных технологий;1;;1;1;1;1;1;;;;1;1;1;1;1;1
21454    ;Руководитель отдела;Отдел информационных технологий;1;;1;1;1;1;1;;;;1;1;1;1;1;1
852      ;Специалист (информационных технологий);Отдел информационных технологий;1;;1;1;1;1;1;;;;1;1;1;1;1;1
10001    ;Менеджер по персоналу;Отдел кадрового делопроизводства;1;;;;1;;1;;;;;;1;;;1
Я0011    ;Руководитель отдела;Отдел кадрового делопроизводства;1;;;;1;;1;;;;;;1;;;1
8887.    ;Специалист по кадрам;Отдел кадрового делопроизводства;1;;;;1;;1;;;;;;1;;;1
112      ;Ветеринарный врач (сменный);Отдел контроля качества;;;1;1;1;1;1;;;;;1;1;1;1;1
